m,n,r,d,A_norm_0,AMP_norm_0,AMP_norm_1
1000,100,75,10,9999.6,9733.6,12.02642927486022
1000,100,75,25,10000.0,9362.8,5.650277512879181
1000,200,150,10,39997.6,38351.2,37.84078713687497
1000,200,150,25,40000.0,36544.4,18.022874179173325
1000,300,225,10,89995.6,85624.8,80.07718785559771
1000,300,225,25,90000.0,80814.0,38.175247172927385
1000,400,300,10,159995.2,151248.8,146.00361171085257
1000,400,300,25,160000.0,142344.8,69.0046523638675
1000,500,375,10,249986.8,235509.6,245.81999867247114
1000,500,375,25,250000.0,222386.0,115.4293694631646
